algoritmo,tipo,tamanho,comparacoes,tempo
insertion,sorted.txt,1000,999,0.000000
insertion,sorted.txt,10000,9999,0.000000
insertion,sorted.txt,100000,99999,0.001000
insertion,sorted.txt,500000,499999,0.001000
insertion,sorted.txt,1000000,999999,0.004000
insertion,sorted.txt,2000000,1999999,0.007000
insertion,random.txt,1000,246922,0.000000
insertion,random.txt,10000,25403394,0.094000
insertion,random.txt,100000,2638802699,14.139000
insertion,random.txt,500000,22175102490,93.811000
insertion,random.txt,1000000,46725590071,188.480000
insertion,random.txt,2000000,95897493627,267.230000
insertion,reverse.txt,1000,499500,0.002000
insertion,reverse.txt,10000,49995000,0.116000
insertion,reverse.txt,100000,4999950000,10.926000
insertion,reverse.txt,500000,124999750000,272.795000
insertion,reverse.txt,1000000,499999500000,1093.517000
insertion,reverse.txt,2000000,1999999000000,5175.847000
merge,sorted.txt,1000,5044,0.000000
merge,sorted.txt,10000,69008,0.007000
merge,sorted.txt,100000,853904,0.033000
merge,sorted.txt,500000,4783216,0.142000
merge,sorted.txt,1000000,10066432,0.287000
merge,sorted.txt,2000000,21132864,0.576000
merge,random.txt,1000,8683,0.001000
merge,random.txt,10000,120459,0.006000
merge,random.txt,100000,1536575,0.042000
merge,random.txt,500000,8837516,0.169000
merge,random.txt,1000000,18503940,0.418000
merge,random.txt,2000000,38414638,0.719000
merge,reverse.txt,1000,4932,0.000000
merge,reverse.txt,10000,64608,0.003000
merge,reverse.txt,100000,815024,0.030000
merge,reverse.txt,500000,4692496,0.136000
merge,reverse.txt,1000000,9884992,0.263000
merge,reverse.txt,2000000,20769984,0.597000
